slug,title,category_sec,category_title,date,chars_no_spaces,words,read_min_calc,read_min_declared,flag_readtime,footnote_markers,footnote_defs,flag_footnotes,footnotes_without_source,na_polyah,svyazannoe,upominaetsya_v,links_out,broken_links_count,broken_links,formulas,has_image,lowercase_headings_ok,lowercase_violations,eng_latin_count,eng_latin_tokens,eng_candidates_count,eng_candidates,typo_straight_double,typo_straight_single,typo_hyphen_em,typo_double_space,typo_three_dots,typo_space_dash,typo_total,literacy,literacy_note,material,material_note,actuality,actuality_note,actuality_refs,weird_phrasings,factcheck_flags,grammar
bookshelf,книжная полка.,s08,история · культура,,3120,534,4,6,no,4,4,no,0,0,1,1,23,0,,0,no,yes,,0,,0,,0,0,0,0,0,0,0,,,,,,,,,,
bootstrap,"бутстрэп, или как вытащить себя за шнурки.",s05,случайность · симуляция,,3913,722,5,7,no,5,5,no,0,0,1,1,10,0,,0,no,yes,,2,bootstraps; bootstrap,2,bootstraps; bootstrap,0,0,0,0,0,0,0,,,,,,,,,,
buffon,игла бюффона.,s05,случайность · симуляция,,3566,663,4,7,no,6,6,no,0,0,1,1,11,0,,0,no,yes,,6,confirmation; bias; Essai; d'arithm; tique; morale,0,,0,0,0,0,0,0,0,,,,,,,,,,
causality,Корреляция — не причинность.,s06,аналитика · платформы,2026.05,4269,701,5,8,no,4,4,no,0,0,1,1,13,0,,0,no,no,золотой стандарт — A/B,55,econometrics; difference-in-differences; treatment; control; Card; Krueger; DiD; relevance; exclusion; restriction; exogeneity; Angrist; regression; discontinuity; tech; onboarding; Abadie; Diamond; Hainmueller; directed; acyclic; graph; backdoor; paths; collider; bias; Minimum; Wages; and; Employment; Does; Compulsory; School; Attendance; Affect; Schooling; Earnings; Synthetic; Methods; for,2,Case; The,0,0,0,0,0,0,0,,,,,,,,,,
clt,Центральная предельная теорема.,s05,случайность · симуляция,2026.05,3984,684,5,7,no,4,4,no,0,0,1,1,19,0,,0,no,no,что ЦПТ не говорит,15,fat; tails; p-value; Approximatio; Summam; Terminorum; Binomii; orie; analytique; des; probabilit; Nouvelle; forme; sur; limite,0,,0,0,0,0,0,0,0,,,,,,,,,,
cognitive-biases,,,,,48,7,0,,no,0,0,no,0,0,0,0,2,0,,0,no,yes,,1,essays,0,,0,0,0,0,0,0,0,,,,,,,,,,
conditions-for-cooperation,условия кооперации,s10,теория игр,,10718,1948,13,,no,0,0,no,0,1,1,1,26,0,,0,no,yes,,20,Pavlov; Nowak; grim; tit-for-tat; Luce; Raiffa; Selten; Sigmund; Ohtsuki; Hauert; Lieberman; Nature; Five; Rules; for; the; Evolution; Cooperation; Science; zero-determinant,1,the,0,0,0,0,0,0,0,,,,,,,,,,
confusion-matrix,матрица ошибок.,s06,аналитика · платформы,,4512,874,6,7,no,4,4,no,0,0,1,1,13,0,,0,no,yes,,3,precision; recall; accuracy,0,,0,0,0,0,0,0,0,,,,,,,,,,
decisions-distance,Решения на дистанции.,s01,решения · неопределённость,2026.05,11352,2102,14,14,no,5,5,no,0,0,1,1,46,0,,0,no,yes,,14,prior; posterior; downside; Skin; the; game; via; negativa; type; reinforcement; learning; Nassim; expected; utility,12,prior; posterior; downside; Skin; the; game; via; negativa; Game; Via; expected; utility,0,0,0,0,0,0,0,,,,,,,,,,
deck-of-cards,Колода которой не было.,s07,числа · бесконечность · основания,2026.04,3178,615,4,5,no,3,3,no,1,0,1,1,4,0,,0,no,yes,,8,Bayer; Diaconis; Trailing; the; Dovetail; Shuffle; its; Lair,1,the,0,0,0,0,0,0,0,,,,,,,,,,
elo,одно число.,s04,спорт · вероятность,,3399,683,5,6,no,6,6,no,0,0,1,1,14,0,,0,no,yes,,9,The; Rating; Chessplayers; Past; and; Present; World; Football; Ratings,1,The,0,0,0,0,0,0,0,,,,,,,,,,
ergodicity,Эргодичность. Почему среднее вам не достанется.,s01,решения · неопределённость,2026.05,15675,2809,19,20,no,10,10,no,1,0,1,1,22,0,,0,no,yes,,23,ergon; hodos; EV-; London; Mathematical; Laboratory; Ole; Peters; ergodicity; economics; Adamou; Introduction; Ludwig; Boltzmann; George; David; Birkhoff; Nassim; Skin; the; Game; expected; utility,5,Skin; the; Game; expected; utility,0,0,0,0,0,0,0,,,,,,,,,,
euler-formula,Пять чисел. Одно уравнение.,s07,числа · бесконечность · основания,2026.04,3230,663,4,6,no,3,3,no,0,0,1,1,9,0,,0,no,yes,,0,,0,,0,0,0,0,0,0,0,,,,,,,,,,
evolution-of-cooperation,эволюция кооперации,s10,теория игр,,14818,2693,18,,no,0,0,no,0,1,1,1,31,0,,0,no,yes,,42,tit-for-tat; tit-for-two-tats; generous; Pavlov; win-stay; lose-shift; Nature; zero-determinant; extortion; ZD-; ZDGTFT-2; Extort-2; Max; Planck; American; Economic; Review; grim; trigger; The; Evolution; Cooperation; Harper; Axelrod-Python; arXiv; Nowak; Sigmund; strategy; that; outperforms; Prisoner's; Dilemma; game; Milinski; Press; Dyson; Institute; for; Evolutionary; Biology,3,The; the; game,0,0,0,0,0,0,0,,,,,,,,,,
expected-utility,Почему люди не максимизируют EV.,s01,решения · неопределённость,2026.05,3727,656,4,8,no,4,4,no,0,0,1,1,15,0,,0,no,no,парадокс Алле,43,utility; expected; theory; certainty; effect; Prospect; reference; point; Loss; aversion; Default; effects; Opt-in; opt-out; Guardrail-; growth-; Subscription; pay-per-use; EV-; Specimen; Theoriae; Novae; Mensura; Sortis; Commentarii; Academiae; Scientiarum; Imperialis; Petropolitanae; Games; and; Economic; Behavior; completeness; transitivity; continuity; independence; Analysis; Decision; under,7,utility; expected; Utility; Default; default; under; Risk,0,0,0,0,0,0,0,,,,,,,,,,
expected-value,Математика решений.,s01,решения · неопределённость,2026.05,3917,732,5,8,no,4,4,no,0,0,1,1,23,0,,0,no,no,A/B и байесовский подход,24,utility; expected; theory; Thinking; Bets; EV-; dominant; strategy; p-value; posterior; Commentarii; Academiae; Scientiarum; Imperialis; Petropolitanae; criterion; John; Bell; Labs; wealth; Annie; Duke; Resulting; Prospect,3,utility; expected; posterior,0,0,0,0,0,0,0,,,,,,,,,,
fibonacci-nature,Фибоначчи в природе — и почему не совсем.,s07,числа · бесконечность · основания,2026.04,4058,701,5,6,no,3,3,no,0,0,1,1,4,0,,0,no,yes,,8,lim; fib; Vogel; Swinton; Royal; Botanic; Garden; Edinburgh,0,,0,0,0,0,0,0,0,,,,,,,,,,
five-letters,Пять писем 1654 года.,s08,история · культура,2026.05,3578,674,4,5,no,4,4,no,0,0,1,1,12,0,,0,no,yes,,4,MacTutor; History; Mathematics; Andrews,0,,0,0,0,0,0,0,0,,,,,,,,,,
flaneur,"Фланёр. Как жить, не зная будущего.",s01,решения · неопределённость,2026.05,6583,1245,8,8,no,3,3,no,0,0,1,1,16,0,,0,no,yes,,12,via; negativa; Charles; Baudelaire; Walter; Benjamin; Passagen-Werk; Nassim; The; Black; Swan; Antifragile,7,via; negativa; The; Black; Swan; Antifragile; Via,0,0,0,0,0,0,0,,,,,,,,,,
forking-paths,сад расходящихся троп.,s06,аналитика · платформы,,5215,958,6,,no,0,0,no,0,1,1,1,13,0,,0,yes,yes,,14,p-value; xkcd; peeking; optional; stopping; p-hacking; Significant; alpha; spending; Andrew; Gelman; Eric; Loken; split-sample,1,optional,0,0,0,0,0,0,0,,,,,,,,,,
gamblers-fallacy,Ошибка игрока.,s03,поведение · искажения,2026.05,3672,674,4,6,no,4,4,no,0,0,1,1,15,0,,0,no,yes,,18,Gambler's; Fallacy; hot; hand; Belief; the; Law; Small; Numbers; Psychological; Bulletin; Gilovich; Vallone; Basketball; Cognitive; Psychology; Miller; Sanjurjo,2,the; The,0,0,0,0,0,0,0,,,,,,,,,,
gambling-math,Как азартные игры породили математику.,s08,история · культура,2026.05,3640,663,4,5,no,4,4,no,0,0,1,1,17,0,,0,no,yes,,15,Liber; Ludo; Aleae; Ratiociniis; Ars; Conjectandi; The; Doctrine; Chances; orie; analytique; des; probabilit; House; edge,2,The; edge,0,0,0,0,0,0,0,,,,,,,,,,
game-theory-distance,теория игр на дистанции,s10,теория игр,,18208,3237,22,,no,0,0,no,0,1,1,1,31,0,,0,no,yes,,32,eBay; zero-determinant; Bernstein; Greif; Gambetta; The; Sicilian; Mafia; Market; for; Lemons; Zahavi; Give; and; Take; Strength; Weak; Ties; Passions; Within; Reason; Altruistic; punishment; humans; Nature; Strategy; Conflict; Schmittberger; Schwarze; Henrich; Suler; Hardin,2,The; Take,0,0,0,0,0,0,0,,,,,,,,,,
game-theory,математика предательства.,s10,теория игр,2026.05,7330,1270,8,9,no,5,5,no,0,0,1,1,39,0,,0,no,no,турнир Аксельрода,29,round-robin; Tit-for-Tat; Tit-for-Two-Tats; Pavlov; Win-Stay; Lose-Shift; TfT; Grim; Trigger; Always; Defect; Cooperate; Random; Zur; Theorie; der; Gesellschaftsspiele; Non-Cooperative; Games; Annals; Mathematics; The; Evolution; Cooperation; and; Theory; zero-determinant; expected; utility,5,der; The; the; expected; utility,0,0,0,0,0,0,0,,,,,,,,,,
games-and-math,Игры которые построили математику.,s08,история · культура,2026.05,5910,1022,7,10,no,6,6,no,0,0,1,1,12,0,,0,no,no,кости · ~1560 · Кардано; карты · 1654 · Паскаль и Ферма; рулетка · 1718 · де Муавр; лотерея · 1738 · Даниэль Бернулли; нарды · IX век · арабские математики; пасьянс · 1946 · Улам; покер · 1944 · фон Нейман; шахматы · 1950 · Шеннон,29,Liber; Ludo; Aleae; House; edge; prospect; theory; Games; and; Economic; Behavior; AlphaGo; Specimen; theoriae; novae; mensura; sortis; Princeton; University; Press; Programming; Computer; for; Playing; Chess; Philosophical; Magazine; Adventures; Mathematician,1,edge,0,0,0,0,0,0,0,,,,,,,,,,
games-that-train-machines,Игры которые тренируют машины.,s08,история · культура,2026.05,6627,1190,8,12,no,0,0,no,0,0,1,1,11,0,,0,no,yes,,38,StarCraft; AlphaGo; credit; assignment; Deep; Blue; alpha-beta; pruning; Monte; Carlo; Tree; Search; self-play; Zero; Libratus; Pluribus; no-limit; Texas; Hold'em; counterfactual; regret; minimization; Dota; AlphaStar; Five; league; training; Diplomacy; Cicero; Meta; DeepSeek-R1; reinforcement; learning; aha; moments; DeepMind; constitutional; AlphaFold,0,,0,0,0,0,0,0,0,,,,,,,,,,
good-decisions,Хорошие решения с плохими исходами.,s01,решения · неопределённость,2026.05,4586,792,5,7,no,4,4,no,0,0,1,1,20,0,,0,no,no,EV и дистанция,36,prospect; theory; resulting; p-value; Resulting-; external; validity; implementation; Facebook; engagement; Pre-mortem; prior; House; edge; Thinking; Bets; Portfolio; Penguin; luck; skill; decomposition; Michael; Mauboussin; The; Success; Equation; Press; Gary; Klein; Performing; Project; Premortem; Harvard; Business; Review; p-hacking,3,prior; edge; The,0,0,0,0,0,0,0,,,,,,,,,,
hidden-layer,скрытый этаж,s10,теория игр,,7161,1258,8,,no,0,0,no,0,1,1,1,19,0,,0,no,yes,,29,zero-determinant; extortion; ZD-; Press; Dyson; Iterated; Prisoner's; Dilemma; contains; strategies; that; dominate; any; evolutionary; opponent; Stewart; Plotkin; and; cooperation; the; ZDGTFT-2; Extort-2; From; generosity; evolution; Adami; Hintze; Nature; Communications,1,the,0,0,0,0,0,0,0,,,,,,,,,,
hilbert-godel,Что Гёдель сказал Гильберту.,s07,числа · бесконечность · основания,2026.04,4468,741,5,7,no,3,3,no,0,0,1,1,4,0,,0,no,yes,,12,Wir; ssen; wissen; werden; Entscheidungsproblem; Principia; Mathematica; Computable; Numbers; with; Application; the,1,the,0,0,0,0,0,0,0,,,,,,,,,,
infinity-paradoxes,Парадоксы бесконечности.,s07,числа · бесконечность · основания,2026.05,3722,651,4,7,no,4,4,no,0,0,1,1,7,0,,0,no,no,отель Гильберта; парадокс Банаха–Тарского; парадокс Рассела,10,ber; das; Unendliche; One; Two; Three; Infinity; Grundgesetze; der; Arithmetik,1,der,0,0,0,0,0,0,0,,,,,,,,,,
infinity-types,Бесконечностей много.,s07,числа · бесконечность · основания,2026.05,2972,588,4,6,no,4,4,no,1,0,1,1,10,0,,0,no,yes,,3,ber; das; Unendliche,0,,0,0,0,0,0,0,0,,,,,,,,,,
infinity,Бесконечность — не число.,s07,числа · бесконечность · основания,2026.04,3624,703,5,7,no,3,3,no,1,0,1,1,10,0,,0,no,yes,,2,googol; lim,0,,0,0,0,0,0,0,0,,,,,,,,,,
invented-or-discovered,Математика изобретена или открыта?,s07,числа · бесконечность · основания,2026.04,4153,700,5,7,no,3,3,no,0,0,1,1,6,0,,0,no,yes,,5,Communications; Pure; and; Applied; Mathematics,0,,0,0,0,0,0,0,0,,,,,,,,,,
is-forecast-right,прав ли прогноз?,s09,ставки · вероятность,,5322,992,7,,no,0,0,no,0,1,1,1,10,0,,0,yes,no,шкала Бриера · одно честное число,11,resulting; reliability; diagram; Glenn; Brier; strictly; proper; resolution; Good; Judgment; Project,0,,0,0,0,0,0,0,0,,,,,,,,,,
kolmogorov,Колмогоров и случайность.,s05,случайность · симуляция,2026.05,4343,707,5,8,no,4,4,no,0,0,1,1,16,0,,0,no,no,три определения до Колмогорова; сложность Колмогорова,15,Grundbegriffe; der; Wahrscheinlichkeitsrechnung; gzip; bzip2; LZ77; minimum; description; length; Springer; Algorithmic; Information; Theory; Halting; Problem,1,der,0,0,0,0,0,0,0,,,,,,,,,,
live-to-next-round,дожить до следующего раунда,s10,теория игр,,7870,1484,10,,no,0,0,no,0,1,1,1,29,0,,0,no,yes,,3,Skin; the; Game,3,Skin; the; Game,0,0,0,0,0,0,0,,,,,,,,,,
llm-eval,"Как измерить то, чего нет.",s06,аналитика · платформы,2026.05,3847,628,4,8,no,4,4,no,0,0,1,1,9,0,,0,no,no,LLM-as-judge,54,human; evaluation; Inter-annotator; agreement; Bradley; Terry; Chatbot; Arena; coverage; bias; edge-cases; LLM-as-judge; GPT-4; GPT-3; position; verbosity; self-enhancement; calibration; eval; Meta-evaluation; LLM-judge; judge; correlation; rank; Spearman; rate; Proxy-; completion; edit; distance; time-to-action; user; rating; thumbs; down; set; baseline; performance; Bilingual; Understudy,3,down; set; baseline,0,0,0,0,0,0,0,,,,,,,,,,
markov-chains,Будущее зависит только от настоящего.,s05,случайность · симуляция,2026.05,3564,622,4,6,no,4,4,no,0,0,1,1,15,0,,0,no,yes,,6,PageRank; Stanford; page; Chain; Monte; Carlo,0,,0,0,0,0,0,0,0,,,,,,,,,,
markov-deep,Андрей Марков и «Евгений Онегин».,s05,случайность · симуляция,2026.05,3529,616,4,8,no,4,4,no,0,0,1,1,10,0,,0,no,yes,,26,PageRank; Chain; Monte; Carlo; Brian; Hayes; First; Links; the; American; Scientist; Anatomy; Large-Scale; Hypertextual; Web; Search; Engine; Equation; State; Calculations; Fast; Computing; Machines; Journal; Chemical; Physics,2,the; The,0,0,0,0,0,0,0,,,,,,,,,,
math-music,Математика звука.,s08,история · культура,2026.05,3260,602,4,7,no,4,4,no,0,0,1,1,8,0,,0,no,yes,,15,Machine; MP3; Sonic; FM-; operator-stack; orie; analytique; chaleur; MPEG-1; Audio; Layer; Fraunhofer; Institute; Yamaha; DX7,1,operator-stack,0,0,0,0,0,0,0,,,,,,,,,,
mcmc,"MCMC, или как бродить с умом.",s05,случайность · симуляция,,4079,706,5,7,no,4,4,no,1,0,1,1,11,0,,0,no,yes,,7,Chain; Monte; Carlo; Metropolis; Rosenbluth; Teller; Geman,0,,0,0,0,0,0,0,0,,,,,,,,,,
millennium-problems,Семь задач. Семь миллионов долларов.,s07,числа · бесконечность · основания,2026.04,4582,794,5,8,no,3,3,no,0,0,1,1,7,0,,0,no,yes,,3,XXI-; NP-; arXiv,0,,0,0,0,0,0,0,0,,,,,,,,,,
monte-carlo,От пасьянса к атомной бомбе.,s05,случайность · симуляция,2026.05,3914,681,5,5,no,4,4,no,0,0,1,1,23,0,,0,no,yes,,18,Equation; State; Calculations; Fast; Computing; Machines; Chain; Monte; Carlo; VaR; Pixar; dropout; Adventures; Mathematician; Metropolis; Journal; Chemical; Physics,0,,0,0,0,0,0,0,0,,,,,,,,,,
multiplication-table,Таблица умножения.,s08,история · культура,2026.06,3241,614,4,6,no,4,4,no,0,0,1,1,8,0,,0,no,yes,,1,machine,0,,0,0,0,0,0,0,0,,,,,,,,,,
nudge,Nudge.,s03,поведение · искажения,2026.05,2951,508,3,7,no,4,4,no,0,0,1,1,10,0,,0,no,yes,,53,Nudge; expected; utility; default; effect; opt-in; opt-out; Salience; Social; norms; Simplification; Feedback; loops; Nest; Opower; libertarian; paternalism; Dark; patterns; Onboarding; Email; Privacy; settings; Framing; Improving; Decisions; About; Health; Wealth; and; Happiness; Yale; University; Press; Johnson; Goldstein; Defaults; Save; Lives; Science,6,expected; utility; default; Default; Feedback; Defaults,0,0,0,0,0,0,0,,,,,,,,,,
optionality,Опциональность. Ценность открытых дверей.,s01,решения · неопределённость,2026.05,6474,1164,8,8,no,2,2,no,0,0,1,1,16,0,,0,no,yes,,6,Nassim; Antifragile; reinforcement; learning; Via; negativa,3,Antifragile; Via; negativa,0,0,0,0,0,0,0,,,,,,,,,,
oshibki-po-pravilam,Ошибки по правилам.,s03,поведение · искажения,2026.06,13428,2475,16,14,no,13,13,no,1,0,1,1,35,0,,0,no,yes,,31,The; Undoing; Project; Thinking; Fast; and; Slow; Belief; law; small; numbers; Judgment; under; Uncertainty; Heuristics; Biases; Science; Prospect; Theory; Analysis; Decision; Risk; Econometrica; Asian; disease; problem; anchoring; effect; availability; heuristic; Nudge,4,The; the; under; Risk,0,0,0,0,0,0,0,,,,,,,,,,
penalty,пенальти.,s04,спорт · вероятность,,3837,703,5,6,no,6,6,no,1,0,1,1,9,0,,0,no,yes,,11,Zur; Theorie; der; Gesellschaftsspiele; Professionals; Play; Minimax; Review; Economic; Studies; Wimbledon,1,der,0,0,0,0,0,0,0,,,,,,,,,,
pi-in-gaussian,Почему π прячется в колоколе Гаусса.,s05,случайность · симуляция,2026.04,3262,596,4,6,no,3,3,no,0,0,1,1,7,0,,0,no,yes,,0,,0,,0,0,0,0,0,0,0,,,,,,,,,,
poker-basics,Покер. Как профи считают в голове.,s02,покер,2026.05,14232,2600,17,14,no,9,9,no,0,0,1,1,20,0,,1,no,yes,,62,high-stakes; solid; line; pure; shove; good; check; mixed; strategy; resulting; Thinking; Bets; PioSolver; Libratus; Pluribus; Pro; Edge; Wizard; MonkerSolver; AlphaGo; AlphaZero; data; science; Susquehanna; International; Group; p-value; range; Portfolio; Penguin; John; Zur; Theorie; der; Gesellschaftsspiele; Mathematische; Annalen; Minimum; Defense; Frequency,6,high-stakes; line; Edge; data; der; the,0,0,0,0,0,0,0,,,,,,,,,,
poker-bayes,Байес за столом. Как читают оппонента.,s02,покер,2026.05,10392,1823,12,12,no,4,4,no,0,0,1,1,19,0,,0,no,yes,,17,prior; likelihood; baseline; prosecutor's; fallacy; Bell; Labs; base; rate; neglect; Claude; Mathematical; Theory; Communication; System; Technical; Journal,4,prior; likelihood; baseline; base,0,0,0,0,0,0,0,,,,,,,,,,
poker-distance,Тренажёр дистанции.,s02,покер,2026.05,3471,623,4,6,no,4,4,no,0,0,1,1,19,0,,0,no,yes,,5,resulting; Thinking; Bets; risk; ruin,1,risk,0,0,0,0,0,0,0,,,,,,,,,,
poker-exploit,Эксплойт против равновесия. Когда математику надо нарушать.,s02,покер,2026.05,9642,1720,11,13,no,7,7,no,0,0,1,1,20,0,,0,no,yes,,17,game; theory; optimal; best; practices; exploitative; play; Doug; Polk; Michael; Acevedo; John; Modern; Poker; level-k; thinking; tit-for-tat,1,game,0,0,0,0,0,0,0,,,,,,,,,,
poker-glossary,,s02,покер,,12090,2150,14,,no,0,0,no,0,0,1,1,30,0,,8,no,yes,,93,English; Aggression; All-in; Bad; beat; Blinds; Blockers; Bluff; Board; Buy-in; Call; Cash; game; counterfactual; regret; minimization; Libratus; Pluribus; self-play; AlphaZero; reasoning-; Check; Check-raise; Combinatorics; combos; Cooler; Donk; bet; Downswing; upswing; Draw; Equity; realization; expected; value; Exploit; Fish; Fold; theory; optimal,7,game; expected; value; Risk; Stack; Value; prior',0,0,0,0,0,0,0,,,,,,,,,,
poker-kelly,Критерий Келли. Сколько ставить.,s02,покер,2026.05,10223,1878,13,13,no,4,4,no,0,0,1,1,21,0,,0,no,no,полный Келли против дробного,34,Bell; Labs; Daisy; Beat; the; Dealer; Princeton; Newport; Partners; position; sizing; John; New; Interpretation; Information; Rate; System; Technical; Journal; Daniel; Specimen; Theoriae; Novae; Mensura; Sortis; Edward; Thorp; Market; William; Poundstone; Fortune's; Formula; expected; utility,3,the; expected; utility,0,0,0,0,0,0,0,,,,,,,,,,
poker-solvers,"До солверов. Что мы потеряли, когда игру решили.",s02,покер,2026.05,6727,1208,8,12,no,0,0,no,0,0,1,1,14,0,,0,no,yes,,9,Full; Tilt; Ziigmund; PioSolver; Triton; feel-based; Deep; Blue; Stockfish,0,,0,0,0,0,0,0,0,,,,,,,,,,
popularizers,"те, кто открыл числа.",s08,история · культура,,3452,609,4,7,no,6,6,no,1,0,1,1,15,0,,0,no,yes,,19,p-value; Rouse; Ball; Mathematical; Recreations; and; Essays; Games; Scientific; American; The; Moscow; Puzzles; How; Lie; with; Statistics; Darrell; Huff,1,The,0,0,0,0,0,0,0,,,,,,,,,,
primes-mystery,Тайна простых чисел.,s07,числа · бесконечность · основания,2026.05,3075,641,4,6,no,4,4,no,0,0,1,1,9,0,,0,no,yes,,10,https; ber; die; Anzahl; der; Primzahlen; unter; einer; gegebenen; RSA-,1,der,0,0,0,0,0,0,0,,,,,,,,,,
probability-paradoxes,Парадоксы вероятности.,s05,случайность · симуляция,2026.05,3965,737,5,8,no,4,4,no,0,0,1,1,17,0,,0,no,no,парадокс Монти Холла; парадокс Симпсона; парадокс Бертрана,12,American; Statistician; Parade; Magazine; Journal; the; Royal; Statistical; Society; Calcul; des; probabilit,1,the,0,0,0,0,0,0,0,,,,,,,,,,
proof,Что такое доказательство.,s07,числа · бесконечность · основания,2026.05,4056,643,4,7,no,4,4,no,0,0,1,1,11,0,,0,no,yes,,15,Proof; assistants; Lean; Coq; Isabelle; perfectoid; spaces; Microsoft; Research; Cambridge; Munich; mathlib; Liquid; Tensor; Experiment,0,,0,0,0,0,0,0,0,,,,,,,,,,
prospect-theory,Prospect Theory.,s03,поведение · искажения,2026.05,3197,566,4,7,no,4,4,no,0,0,1,1,10,0,,0,no,yes,,28,Prospect; Theory; expected; utility; loss; aversion; Analysis; Decision; under; Risk; Econometrica; reference; dependence; point; probability; weighting; wealth; Advances; Prelec; The; Function; Thinking; Fast; and; Slow; Fourfold; Pattern; nudge,5,expected; utility; under; Risk; The,0,0,0,0,0,0,0,,,,,,,,,,
