slug,words,sent_avg,sent_short_pct,staccato_max,crutch_count,canc_count,english_tokens,spell_candidates,literacy_score,length_flags
two-sided-markets,694,5.3,50.0,2,0,0,4,1,3,
two-systems,557,4.0,61.5,6,0,0,0,3,2,thin:557w;section>56.8%:как работать с двумя системами
uncertainty-knight,1707,12.8,0.0,0,0,0,0,3,4,
underdogs,864,14.5,8.3,1,1,0,0,9,4,
unit-economics,611,5.4,20.0,1,0,0,1,1,4,
value-betting,1074,20.6,10.9,1,1,0,20,15,4,
via-negativa,1067,11.0,25.0,1,0,1,4,4,4,
who-sets-odds,1652,21.3,7.0,2,3,1,32,15,4,
why-simulation,723,13.4,9.1,1,0,0,1,15,4,
xg,710,13.1,16.1,1,1,0,2,3,4,
zero-history,589,7.0,24.1,3,0,0,3,14,4,thin:589w
zero-point-nine,529,5.8,42.0,7,0,0,0,2,2,thin:529w
zfc-independence,772,11.3,19.2,2,0,1,0,14,4,
